,0
13,"onyx dragon, dndbeyond, bright, colourful, realistic, dnd character portrait, full body, pathfinder, pinterest, art by ralph horsley, dnd, rpg, lotr game design fanart by concept art, behance hd, artstation, deviantart, hdr render in unreal engine 5close up of a beautiful woman underwater wearing sunglasses and a colourful octopus as a hat, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, 8 k, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha"
14,"concept art skull barrista, close - up portrait, powerfull, intricate, elegant, volumetric lighting, scenery, digital painting, highly detailed, artstation, sharp focus, illustration, concept art, ruan jia, steve mccurrya pretty smiling blonde girl with heart - shaped sunglasses dressed in pink shiny clothes is guarded by flamingos, sun set and skyscrapers in the background, art by guweiz, dramatic lighting, highly detailed, incredible quality, trending on artstation"
15,"front shot of a grey direwolf, intricate, elegant, highly detailed, centered, artstation, concept art, smooth, sharp focus, artgerm, tomasz alen kopera, peter mohrbacher, donato giancola, joseph christian leyendecker, wlop, boris vallejo ), mugshot, ugly, octane render, nvidia raytracing demo, grainy, mutedironman going supersayain, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart"
16,"a gorgeous Dragon roaring fire, standing in the rain on top of a mountain, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, art by Gerald Brom and Zdzisław Beksinskiportrait of a beautiful bearded curvy female dwarf demolitioner in working clothes. in style of yoji shinkawa and hyung - tae kim, trending on artstation, dark fantasy, great composition, concept art, highly detailed, dynamic pose, vibrant colours."
17,"portrait of beautiful michael rosen, by atey ghailan, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton, by kaethe butcher, dynamic lighting, gradient light blue, brown, blonde cream and white color scheme, grunge aestheticportrait of lana del rey as a cyborg. intricate abstract. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8 k, iridescent accents"
18,"paladin wearing helmet detailed, ultra detailed fantasy, dndbeyond, bright, colourful, realistic, dnd character portrait, full body, pathfinder, pinterest, art by ralph horsley, dnd, rpg, lotr game design fanart by concept art, behance hd, artstation, deviantart, hdr render in unreal engine 5cyborg girl kawaii, ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8 k"
19,"a fantasy city within a dark cavern, rainy and gloomy atmosphere, viewed from afar, extremely detailed oil painting, unreal 5 render, rhads, bruce pennington, studio ghibli, tim hildebrandt, digital art, octane render, beautiful composition, trending on artstation, award - winning photograph, masterpieceAnime art very beautiful Hatsune miku by artgerm, Gil Elvgren, Vladimir Volegov, Earl Moran, Enoch Bolles, symmetrical shoulders, smiling, bra with ribbon"
20,"duncan trussell glowing reptile eyes, shamanic poster lsd art, intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, tomasz alen kopera, peter mohrbacher, donato giancola, joseph christian leyendecker, wlop, frank frazettaalien ship interior, control panels, lights, unknown machinery, advanced technology, spiral entrance, fine details, perfect, 8 k high detail, masterpiece, trending on artstation, by ian mcque, bradley wright"
21,"a cloaked adventure standing in a winding road leading to the ruins of a far away postcyberpunk city far away in the distance, wide view, desolate. digital illustration, octane render trending on arstation by artgerm, raphaelite and muchapainting of Michael Myers having fun in a roller coaster, sharp focus, wide shot, trending on ArtStation, masterpiece, by Greg Rutkowski, by Ross Tran, by Fenghua Zhong, octane, soft render, oil on canvas, colorful, cinematic, environmental concept art"
22,"world of warcraft, feminine blood elf warlock, digital art, beautiful, trending on artstation, incredibly detailed, vibrant, award winning, intricate ï¿½ultra realistic style illustration of an androgynous gorgeous witch with shoulder length black hair pale skin and beautiful eyes, headshot, sci - fi, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, 8 k frostbite 3 engine, ultra detailed"
23,"breathtaking detailed weird concept art painting of few goddesses of light pink flowers, orthodox saint, with anxious, piercing eyes, ornate background, amalgamation of leaves and flowers, by Hsiao-Ron Cheng, extremely moody lighting, 8KA beautiful woman grasping at the stars, by Lois van Baarle, by Greg Rutkowski, by artgerm, by beeple, volumetric lighting, 4k resolution, octane render, trending on artstation"
24,"tifa wearing tank suit, seductive pose and smile, room background | very very anime!!!, fine - face, audrey plaza, realistic shaded perfect face, fine details. anime. realistic shaded lighting poster by ilya kuvshinov katsuhiro otomo ghost, magali villeneuve, artgerm, jeremy lipkin and michael garmash and rob reyportrait of the female nerevarine dunmer with red irises dark skin and white hair, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, octane render, unreal engine, art by swietopelk and rebelzize and terab 1 t and david leggett and deviant art, epic fantasy, digital painting, dark elf, dunmer, morrowind, oblivion, skyrim, daedric armor, morag tong, dark brotherhood, male"
